ID,Gloss,Class,Portuguese_ort,Portuguese,Kriyol_ort,Kriyol_Mandinka,Kriyol_Balanta,Kriyol_Fula,Kriyol_Mandjaku,Mandinka,Balanta,Fula,Mandjaku
118,smoke,environment,fumo,ˈfumu,fumu,ˈfumu,ˈfumu,ˈfumu,fumu,sisjo:,,'t͡ʃuɾki,uru
119,fire,environment,incêndio,ĩˈsẽdju,fugu,ĩˈsɛ̃dju,ˈfugu,'fogu,fugu,taka,,'ʜiɗe,b'rwa
120,ashes,environment,cinzas,ˈsĩzɐʃ,sinsa/po,ˈsĩsɐ,ˈsĩsa,'sĩsɐ,sĩza,jɛɳiɾo:,,ɗõɗi,u'fab
121,burn,environment,queima,ˈkɐjmɐ,kema,kemɐˈduɾɐ,ˈkɛmɐ,'kɛma,kɛma,siːlo:,,'sumuɠoɭ,pt'ɾaɾ
122,road,environment,caminho,kɐˈmiɲu,kaminhu,kaˈmiɲu,kɐˈmiɲu,kaˈmiɲu,ka'mĩɲu,koŋkoː,,'lawoɭ,b'ga
123,mountain,environment,montanha,mõˈtɐɲɐ,montanha,mõˈtɐɲɐ,mõˈtaɲɐ,õˈtaɲa,mõ'tãɲa,,,ˈfɛɾlɔ,umõ'tãɲa
124,woman,human,mulher,muˈʎɛɾ,mindjer,mĩˈdʒɛɾ,mĩˈjɛɾ,mĩˈgjɛɾ,mĩ'ʤɛɾ,musoː,,ˈɗɛɓɔ,ŋ'aʧ
125,man (adult male),human,homem,ˈɔmɐ̃j̃,omi,ˈɔmi,ˈɔmi,ˈomi,ɔmi,kewo,,ˈgɔɾuko,nĩʧ
126,man (human being),human,ser humano,ˈseɾ uˈmɐnu,ser? umanu,pɛkaˈdoɾɨs,pɛkaˈdoɾ,pɛkaˈɗuɾ,pɛka'duɾ,adamandiuŋ,,taˈɠaɗo,ɲana'ʤĩ
127,child,human,criança,ˈkɾjɐ̃sɐ,kriansa,ˈkɾjɐ̃zɐ,miˈninu,miˈninu,mi'ninu,dindiuŋ,,t͡ʃukaˈlũ,na'paʧ
128,wife,human,mulher,muˈʎɛɾ,mindjer,mĩˈdʒɛɾ,mĩˈɟɛɾ,mĩˈd͡ʒɛɾ,mĩ'ʤɛɾ,,,ˈɗɛɓɔ,ŋ'aʧ
129,husband,human,marido,mɐˈɾidu,"maridu, spoza",maɾiˈdu,ˈɔmẽ,ˈomi,ɔmi,,,ˈgɔɾuko/ˈgẽɗɐ/mo:ˈɗi,nĩʧ
130,mother,human,mãe,ˈmɐ̃j̃,mai,maˈmɛ,maˈmɛ,ˈmame,mamɛ,baːmaː,nɨ,ˈnɛne,a'nĩ
